Bioenergy	54	Is it really possible to both increase land used for biocrops and increase livestock numbers	"Q: The calculator assumes that it is possible to both dedicate 17% of land to the growth of biocrops, and increase livestock numbers by 10%. Is it suggested that this would be achieved simply through increased intensity of farming?
A: Yes. ÒLevel 4Ó effort for Òland managementÓ assumes an increase in land allocated to biocrops of 38,160 km2 (so that 17% of land is used for biocrops) and an increase in land for forests of 10,913 km2. This is brought about by a 13,671 km2 fall in arable land for food crops, 32,812 km2 reduction in land for grassland for livestock and fallow and 2,589 km2 decrease in land for ÒotherÓ uses. This implies an increased intensity of livestock farming."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	126	How can we work out the energy needed for cooling?	"The first thing you need to do is work out the amount of cooling demanded. This will mean working out the average external temperatures, and then you can compare this against the temperature people want their homes to be at
You can then convert into type of energy, and work out the amount of fuel required (electricity, or for heating this might be gas), by incorporating technology efficiencies.
"	Green	PAR		GH done	
Buildings	107	"As you know, Mr Khanh-Excel expert developed excel files for input data (data requirement) of each sector (energy demand side and supply side) that based on most of IESS-2047/India case. And then Mr Hoang Anh posted data on the Excel - data requirement-Resident- Cooking and Hot water sheet, We (Khanh and me) have reviewed and found that the Technology Efficiency of all energy/electricity devices/stoves is 100% (with approach based on energy demand in term of useful - see the attached). And then we also checked the India case. The situation is also the same, even the Technology Efficiency is more than 100% (please check XIII.a-Excel file -India case)."	"Technology efficiencies: I think some confusion may have arisen regarding the technology efficiencies.Ê As you can see from the excerpt below from the UK model, we make use of both input and output efficiencies.Ê In this instance the efficiency weÕre concerned about the output efficiency; in terms of the amount of heat we get from the electricity used.Ê These are shown below in the H.01 column.Ê Most of these are below 100% (e.g. Gas boiler old: 76%), except in the case of heat pumps, where the efficiency is exaggerated as environmental heat is also used. In the table below, the input efficiencies shown, which effectively show the input energy source, are commonly 100% (e.g. a gas boiler uses 100% gas).Ê I suspect these input efficiencies may have been confused with the output efficiencies.Ê"	Amber	Ed		RC	Email from Vietnam
Buildings	102	Where is public street lighting included? Where could they include it as an option?	"In the UK Calculator we only refer to Òcommercial lightingÓ in general i.e. all lighting that is not in the residential sector (and is dealt with in X.b in the Excel). There is not a separate breakdown for public street lighting. If you would like to refer specifically to street lighting you will need to include data on the electricity that this currently consumes, and different scenarios for how this could either increase or decrease depending on technology choices. 
The UK's Level 4 assumes that for commercial lighting, LEDs could be introduced over time, reaching 90% of the stock by 2050. New lighting installations on major roads could be more efficient high pressure sodium (HPS) lamps and new installations on residential roads could be more efficient ceramic metal halides. This could help reduce demand for lighting by more than 50% by 2050.
"	Green	Ed & PAR		RC done	
Buildings	80	"I am now going through sheet IX.c commercial heating and cooling and have difficulty understanding the section on technology efficiencies in there (from line 96 down), 
Could you pls. explain their nature, in particular while some are negative and the other are positive and their magnitudes
"	"Some of the efficiencies represent energy inputs so have a negative sign some are outputs, so have a positive sign. For example, in the case of ÔGas boiler (old)Õ, the energy input, gas V.05, has a negative sign (100%), while the outputs, heat H.01, 76%, (76% of the input energy is converted to heat), and losses X.01, 24%, are positive. The idea is that the output tables always net to zero, with the positive and negative values cancelling each other out.
Some of the magnitudes are very high (e.g. for heat pumps) because the efficiency is quoted in terms of the electricity used (i.e. the fuel input that we care about), while in reality they also make use of a secondary energy input, environmental heat.
"	Green	Greg		RC done	Greg's summary
Buildings	184	What are the UK's main choices for heat levers?	"For the heat sectors the choices are broadly in terms of: 
- Heat demand, determined in the domestic sector by the temperature that households set their thermostats and the amount of insulation installed (these are combined to a single demand lever for the commercial heat sector);
- The proportion of electrification (the prevalence of heating technologies, e.g. air source heat pumps, that rely on electricity); and
- The source of heat for non-electrified heat technologies (whether this comes from solid or gas fuels, or from a communal source, such as excess heat from power stations via a heat network).
There are four user choices for the domestic heat sector, including:
¥ Average temperature of homes: the change from the 2007 average of 17.5¡C (also determines demand for hot water and air conditioning).
¥ Home insulation: the average thermal leakiness of homes based on the up-take of insulation measures.
¥ Home heating electrification: the proportion of households that use electrified heat sources to heat their homes.
¥ Home heating that isn't electric: the choice of heat source for households that donÕt have electrified heating.
"	Amber	Heat sector guide			Ruth made up
Buildings	145	"What's the difference between domestic lighting and appliances, and non-domestic lighting and appliances?"	"In the 2050 Calculator, we consider domestic lighting and appliances and non-domestic lighting and appliances separately. The broad range of products that are used in these sectors are categorised according to Energy Consumption in the UK 2009.
Broadly, domestic products include consumer electronics, home computing, cold appliances, wet appliances and lighting.
Non-domestic products include lighting, catering and computing, with other appliances grouped in a separate category.
"	Amber	PAR	Still up to date?	GH	Ruth question idea
Buildings	146	How are computing and electronic products modelled within the calculator?	"Consumer electronics and home computing present the biggest challenges to reducing energy demand in the domestic sector. Ownership of these products is likely to continue to rise over the next 40 years. For example, televisions account for the largest share of the energy used by consumer electronics, and their number in households is expected to rise by 21% between 2010 and 2020. However, technological developments, such as new display technologies, reducing standby consumption and reducing on-power
consumption, could curb increases in demand for electricity for these products.
New backlighting technologies and variable brightness control could double the efficiency of liquid crystal display (LCD) televisions. Likewise, the efficiency of plasma technology for plasma televisions is expected to double over the next few years. Some products, such as computer monitors and televisions, consume electric power while they are left on standby or even when they are switched off and plugged in. For some products this power enables useful features such as responsiveness to remote control, but in other products it does not offer any such advantages. The amount of unused power that these products draw could be reduced further through technological enhancements.
"	Amber	PAR	Still up to date?	GH	Ruth question idea
Buildings	147	"By having more efficient products (i.e.. emitting less waste heat), will households need greater heating in winter?"	"The use of more efficient products could have an effect on other energy uses. Inefficient lights, computing equipment and poorly insulated ovens, for example, emit heat, which consequently warms our homes and buildings. Sometimes this heat is useful to maintain a comfortable indoor temperature. At other times the additional heat is not necessary and we use other technologies (such as air-conditioners) to bring the temperature back to comfortable levels.
As the efficiency of products improves, the amount of heat generated by lights and appliances will drop. When this heat is not useful to maintain comfortable temperatures, improving the efficiency of lights and appliances will have the additional benefit of there being less need for energy for cooling. In cases where this heat is used, the comfortable temperatures in our homes and buildings would need to be maintained in other ways. This is addressed in the heating and cooling part of the model.
"	Amber	PAR	Still up to date?	GH	Ruth question idea
Buildings	148	How much difference do we assume that smart meters make?	"Smart meters show how much energy we use in our homes, thereby helping us to identify sources of energy wastage. It may be that at some point in the future, our homes, offices, vehicles and heaters are equipped with technologies that communicate as one integrated system, helping us to use energy more efficiently across the board.
Level 2 assumes that with the help of smart meters and other technologies, we could manage the use of lights and appliances in our homes (for example, turning lights and appliances off when we are not using them) such that we reduce total demand by 5%.
Levels 3 and 4 have more ambitious aims, but the model doesn't specify how much is directly driven by smart meters.
"	Amber	PAR	Still up to date?	GH	Ruth question idea
Buildings	149	How do we calculate heat loss?	"The fabric of a building (including its level of insulation) determines how efficient the building is at keeping warmth inside. The rate of heat lost from a household is proportional to the difference in internal and external temperature, and the thermal ÔleakinessÕ of households. The ÔleakinessÕ is quantified by the ÔHeat Loss CoefficientÕ (HLC) which takes account of both fabric losses and ventilation losses. The amount of heat loss can be obtained by multiplying the rate of heat loss by the length of time it
persists.
The future average HLC of the UK domestic stock in a given year is influenced by:
¥ the demolition rate;
¥ the new build rate;
¥ the level of refurbishment in the remaining stock; and
¥ new build fabric thermal efficiency standards.
"	Amber	PAR	Still up to date?	GH/TC	Ruth question idea
Buildings	150	How do we model insulation measures?	"The uptake of insulation measures in the domestic sector can in practice be limited by a number of factors. Consumers are sensitive to upfront costs, even when a measure is cost effective. The type of building ownership can affect take up, with private landlords
having little incentive to invest in energy saving measures benefitting their tenants. There is a significant fraction of the population who do not take up measures regardless of how cost effective they are (estimated at 28% of the owner-occupier population).
People can be put off by the disruption associated with some measures, for example floor insulation and internal solid wall insulation. In the case of internal solid wall insulation there can also be a significant loss of floor area. The savings achieved by energy efficiency improvements can also be reduced by Ôcomfort takingÕ, in which the measures partly support warmer internal temperatures rather than increased energy savings."	Amber	PAR			Ruth question idea
Buildings	151	What types of electric heating technologies are modelled?	"The following electric heating technologies have been examined:
¥ resistive heating;
¥ ground source heat pumps; and
¥ air source heat pumps."	Amber	PAR	Still up to date?	GH	Ruth question idea
Buildings	152	How do heat pumps work?	"The 2050 project divides heat pumps into air source heat pumps (ASHPs) and ground source heat pumps (GSHPs). Heat pumps can be used with either wet heating systems (for example, radiators) or dry heating systems (for example, forced air blowers). Heat pump efficiency is usually stated in terms of a Coefficient of Performance (ÔCoPÕ), which is the ratio of useful heat output to electrical input.
The second law of thermodynamics limits the maximum CoP that can be achieved by a heat pump. The maximum CoP is dependent on the temperature difference between the cold body and the hot body. For building heating applications, this means that the CoP of the heat pump is reduced if the external temperature (of the ground sub-surface or air) is lower, or if a higher temperature needs to be achieved (for example, to heat hot water). The variation of heat pump CoP with temperature has a number of implications if heat pumps are to be used for building heating applications.
The rate of heat delivery required to maintain an adequately high internal temperature is dependent on the rate of heat loss from the building, which is in turn dependent on its levels of insulation and air-tightness. The first trade-off is therefore between insulation levels and the rate of heat delivery required. Although this is true for all heating systems, for heat pumps the variation in efficiency with delivered temperature makes this trade-off particularly acute.
_ Better insulating buildings enables heat pumps with a smaller power rating to be used. This is beneficial, as the size and cost of a heat pump increase as the rated power increases. If buildings are well insulated then existing radiator systems could operate at lower temperatures and still meet the demand, which would improve CoPs.
_ The noise generated by ASHPs also increases as the rated power increases (for the same size of air to refrigerant heat exchanger). Quiet ASHPs are less likely to be constrained in their deployment, particularly in higher density areas where buildings are in close proximity to each other and there is a greater potential for cumulative noise to become a problem. Future technology improvement may reduce the noise associated with ASHPs.
_ Should electric heating achieve a high penetration in UK households, the smaller peaks in space heating demand associated with better insulated dwellings would help reduce the capacity of the electricity infrastructure required to meet peak heat demand, for example upgrades to local sub-stations and networks.
Possible constraints on the uptake of air-to-air systems include fan noise in quiet rooms (such as bedrooms) and different perceptions of thermal comfort compared to radiator systems.
"	Amber	PAR	Still up to date?	GH/TC	Ruth question idea
Buildings	168	"For the use of renewable energy in the residential sector, we observed that solar thermal energy replaces conventional energies instead of water heating. In terms of solar photovoltaic and wind small scale, are this being replaced by a specific conventional energy?.  What about its distribution?"	TBD	Red	Ruth		GH	Discussion with Colombian team
Buildings	170	9. Can you give us a detailed description of the spreadsheet XVII.a? 	"To understand sheet XVII, thereÕs some background on what is meant by the assumptions (particularly complex parts such as the z-factor) in this file (pages 116-117):
https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/42562/216-2050-pathways-analysis-report.pdf
"	Amber	Ruth		GH	Discussion with Colombian team
Buildings	21	"How does the modelling take into account the different housing types (block house, family house, public buildingsÉetc.) in the building stock? They can differ very much in respective parameters and insulation."	"We have estimated the thermal leakiness of our housing based on a separate analysis of the housing stock of the UK (which takes into account the level of existing insulation, the building materials, building shape and size and so on)."	Amber	wiki	Can we say more about other countries?	RC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Buildings	22	On sheets IX. a and c what is the meaning of the technology codes (in rows 75 and 93) and the percentage in the columns? It seems like the codes do not follow any logic.	The codes correspond to a lookup value to select a combination of electrification and non-electrification energy source (in the table at rows 15 -21).		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Buildings	23	"The spread of district heating could decrease heat related emission considerably. How is the ratio of DHC supplied buildings taken into account? How is the fuel (gas, coal, RES) for DHC generation taken into account?"	"The ratio of DHC supplied buildings considers what is physically possible within the UK. District heating has no emissions in the heating sector as the emissions are counted in the power generation sheets, depending on the type of fuel combusted."		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Buildings	24	Is the cooling demand (TWh) reflected in the electricity generation mix (summer peak load)? (Sheet IX a)	There are user trajectories for the cooling technology which affects the energy demand in the heat sector. This demand affects the energy supply and so it can affect the generation mix (see answer to question 2) 		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Buildings	42	I expected altering the level of insulation to make a bigger difference	"The difference in greenhouse gas emissions from the all at level 1 pathway[1] and a pathway whose only difference is level 4 effort on insulation[2] is only 3% of 1990 levels. This may appear smaller than expected. See the answer here for more detail:
http://2050-calculator-tool-wiki.decc.gov.uk/pages/124
It is worth noting that the calculator does not capture the full benefit of insulation. In particular, insulation may have a significant impact on the need to provide 'peaking' electricity."		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	51	Why does reducing thermal waste in all domestic buildings by 50% by 2050 have no apparent impact on oil use?	"In the UK's 2050 Calculator, in the baseline year of 2007, oil-fired boilers account for 4% of heating technologies. 
If the user of the 2050 Calculator reduces thermal waste in domestic buildings using the Òhome insulationÓ lever, this reduces oil use in the years 2010- 2045 (the 2050 Calculator assumes that oil boilers will be phased out by 2050). A 50% average reduction in thermal leakiness reduces oil use by around 0.3 - 1.3 TWh per year over the 2010 to 2045 period.
This reduction in oil use does feed through into the graphs in the 2050 Calculator Webtool and spreadsheet but it is not noticeable for two reasons: 
1.The 2050 Calculator assumes that oil boilers will be phased out by 2050. Therefore, a reduction in the thermal waste of domestic buildings of 50% by 2050 will have no impact on oil use in 2050 in the 2050 Calculator; and
2.The reduction in oil use is small relative to the total oil use.
 
Energy supplied by oil and petroleum products is given in row 43 in the spreadsheet in the ÒIntermediate outputÓ worksheet. The spreadsheet can be accessed here: http://www.decc.gov.uk/en/content/cms/tackling/2050/calculator_exc/calculator_exc.aspx
"		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	52	How does the user determine the level of district heating?	"The level of district heating to provide heat to domestic and commercial properties up to 2050 is determined by the user as follows:
 1.Domestic heating:
 ¥the user selects the level of electrification of domestic heating up to 2050, by using the Òhome heating electrificationÓ lever (National Grid have selected level 4, the highest electrification); and
 ¥the user selects the level of district heating for homes that are not electrified by 2050, by using the Òhome heating that isnÕt electricÓ lever (National Grid have selected level A, where gas or gas CHP are the dominant non-electric sources).
 2.Commercial heating:
 ¥the user selects the level of electrification of commercial heating up to 2050, by using the Òcommercial heating electrificationÓ lever (National Grid have selected level 4, the highest electrification); and
 ¥the user selects the level of district heating for commercial properties that are not electrified up to 2050, by using the Òcommercial heating that isnÕt electricÓ lever (National Grid have selected level D, which uses a mixture of non-electric sources). "	Amber	wiki	Still up to date?	GH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	49	What are the exact numbers in Figure A3 in the 2050 pathways report for the levels of domestic lighting and appliances in 2007; 2010; 2020; 2030 and 2050	"The TWh per year usage figures for sectors, for a given pathway and a given year, can be found as follows:
 domestic lighting and appliances: cell H17 in each of the ÒyearÓ worksheets (worksheets Ò2007Ó to Ò2050""
In order to get the energy demand under each a given trajectory (1 Ð 4), you will need to set the trajectories to either level 1, 2 3 or 4 in the ÒControlÓ worksheet, column E."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	53	Where did the u-values in the heat sector (IX.a) come from?	"Typical U-values for various measures, for example, cavity wall insulation (by M2) are combined with the proportion of properties by age that have these measure (using data from the English House Condition Survey, by the UK's Department for Communities and Local Government). These are then combined with information about the housing stock, e.g. wall area, to produce average heat loss estimates."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	55	What is pumped heat on the Sankey diagram	The Sankey diagram shows 'pumped heat' as a fuel source. This is the heat that a heat pump (a type of heater for homes and businesses) sucks from the atmosphere or ground and pushes into rooms. 	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Buildings	172	"For autogeneration solar thermal, we want to split out the commercial and the household calculations for this. How best can we model this?"	TBD	Red				Discussion with Colombian team
CCS	14	What is the connection between sheets I.b. and XIV.a regarding CCS? Is it not over determined? Once we know the capacities supplied with CCS and their parameters the captured CO2 can be calculated. Why is sheet XIV.a necessary?	"These sheets show different kinds of Carbon Capture and Storage.
I.b is CCS on power stations.
XIV.a is stand alone geosequestration (for an explanation of the technologies, see page 237 of: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/68816/216-2050-pathways-analysis-report.pdf)"	Green	wiki		RC done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Conclusions	186	Are there any ways that the user can produce implausible pathways?	"There are a few ways the user can break the calculator, for example:
- if you don't produce biomass, won't get the benefit of lower emissions (as coal would be used instead)
- you can specify high degree of district heating, when you have no thermal generation (obviously it's not possible to do this with wind turbines)
- a user could also specify techs that need lots of interconnections but don't add enough on that lever
"	Amber	Ed/Ruth		GH/TC	Mexican workshop
Conclusions	93	What feedback did you get through the call for evidence? How did this feed into the model?	"Our part 2 2050 calculator document gives lots of detail about sectors where we had feedback, and how the 2050 Calculator was changed because of it:
https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/42545/1344-2050-pathways-analysis-response-pt2.pdf
You can see documents with all the feedback we received during the call for evidence here:
https://www.gov.uk/government/consultations/2050-pathways-analysis"	Green	Ruth		RC done	Ruth question idea
Conclusions	160	Would you recommend adding a pathway that weÕve developed in another model into our version of the Calculator?	"I think it is a good idea to transcribe scenarios from other models into example pathways in your calculator and webtool.
In the UK, we carried out a similar activity, transcribing the results of different runs of our complex Markal and ESME models into the UK calculator. By doing so, we helped more people to understand what those models were actually saying.  Better still, we helped people to understand where the cheapest option might not be the most appealing or politically feasible, by including the pathway and then allowing people to Ôcorrect itÕ using the tool to do fewer things they consider undesirable. Furthermore, once the results of other models were included in the 2050 calculator as example pathways, we could easily carry out sensitivities to see what really mattered in those other modelÕs conclusions Ð for example, how much difference did reducing level 4 to level 1 on any given technology actually make in the overall pathway.
As far as I know, no other country (apart from the UK) has yet done this sort of transcribing. It is normally easy enough to do, if the results of the complex model give you enough detail. The one tricky aspect is that you can often replicate the results of the complex model in a particular year (e.g., 2047) but rarely can you replicate the results in all years at the same time. We took the approach of just trying to match the final year which is the easiest approach. 
"	Amber	Tom		TC	Indian team
Conclusions	159	"Where can I see key information about my pathway, such as total electricity generation and electricity capacities, and energy demand for heat and transport?"	"Click on the ÒSee implicationsÓ button in the top left hand corner of the webtool front page. This will reveal a drop-down menu, from which the ÒelectricityÓ link can be used to access the results for electricity generation and electricity capacities, along with a selection of other information."	Green	How-to guide		RC done	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Conclusions	72	Does the UK calculator show we really need to increase electricity generation from todays levels to hit the 2050 target?	"From the UK's 2050 pathway analysis to date, there is a clear trend that most pathways involve a large increase in electricity generation: 13 of the 17 involve an increase of more than 20% on 2007 production, and half of the pathways more than double. The consequences of not electrifying sectors and therefore not increasing electricity generation would be large requirements for bioenergy and heroic levels of behaviour change to reduce per capita energy consumption.
Therefore, although it is physically possible to reduce electricity generation and reach the UK's 2050 target, it involves a large amount of heroic effort on demand and bioenergy that many stakeholders consider unrealistic. An increase in electricity generation has been one common message of the pathways analysis to date, and indeed work from the CCC and economic models, such as MARKAL, indicate a similar trend. As the department works towards producing a narrower set of plausible pathways, then we could begin answer with more certainty, but until then it remains true to say that the 2050 work indicates a need for an increase in electricity generation in the majority of pathways presented, with many pathways more than doubling current generation demand."	Amber	wiki	Still up to date?	EH	http://2050-calculator-tool-wiki.decc.gov.uk/pages/209
Cost	178	"Within the calculator costs, which technologies are included?"	"There are 130 technologies in the 2050 Calculator and capital, operating expenditure and fuel cost estimates are included for each of these to 2050.  These cost estimates cover the whole of the energy system (everything from: power stations and industrial processes; to cars, planes and trains and the fuel they use; to gas boilers and cavity wall insulation). On the energy supply side, this includes power stations, primary energy sources (fossil fuels, uranium and biomass) and transmission networks. On the energy demand side, this includes energy users (heating systems, cars and industrial plants) and demand reducing equipment such as insulation.
The 2050 Costs Calculator has the following cost information for each technology and fuel in 2050:
¥ Low cost estimate Ð costs are the lowest that credible published studies suggest they could be by 2050, for example assuming technology breakthroughs and low cost material and labour.
¥ High cost estimate Ð costs in 2050 are frozen at todayÕs levels (or even higher if credible published evidence suggests this could be the case).  This assumes no technological breakthroughs over the next forty years and high labour and material costs.
¥ Within this low / high costs range a default point estimate Ð consistent with MARKAL."	Amber	Cost methodology		GH	Ruth made up
Cost	179	Where does the cost data come from?	"The cost estimates in the 2050 Costs Calculator are drawn from a wide range of credible, published sources.  Sources include economic and energy models (in particular MARKAL), sectoral analysis (Parsons Brinckerhoff, Mott MacDonald, AEA, NERA), UK Government Departments, independent analytical bodies such as the Committee on Climate Change and wherever possible the real world cost of technologies as reported by financial bodies or the media. The 2050 Calculator includes no new evidence about costs, it simply brings together existing published assumptions. 
For full details of the costs methodology, see: http://2050-calculator-tool-wiki.decc.gov.uk/pages/28 "	Amber	Cost methodology			Ruth made up
Cost	180	What caveats should I use when presenting cost data?	"There are certain costs associated with the move to a low carbon economy, which this analysis does not capture (such as wider macroeconomic impacts and the inconvenience from living in cooler buildings). And, critically, this analysis does not take into account any of the benefits associated with the move to a low carbon economy.  These include:-
1. The avoided devastating damages of climate change Ð the Stern Review estimated this environmental cost at up to 20% of GDP per year globally, a figure that helps contextualise the cost of mitigating climate change, which he estimated to be 1-2% of GDP globally. 
2. The benefits of greater energy security.  If the UK did nothing to tackle climate change, the proportion of our energy we get from imported fossil fuels will rise from around 23% in 2007 to 53% in 2020 and 88% in 2050, meaning that our spending on net imported fossil fuels would rise from around £10bn today to £32bn in 2020 to £86bn in 2050. This would leave the UK more vulnerable to fossil fuel shortages and price spikes.  However, if we meet our 80% target, then by 2050 imported fossil fuels could account for only 7-30% of our energy, at a cost of £8-24bn.
3. Investment in the green economy is a strong driver of economic growth and jobs.  The global low carbon market is projected to reach £4 trillion by 2015 as economies around the world invest in low carbon technologies.  Investment in renewables, globally, already outstripping investment in fossil fuels.  By 2015, over 1 million people in the UK are expected to be employed in the green economy. 
4. Another important caveat to the analysis is that the costs the combination of technologies chosen by the user and does not take into account price interactions between supply and demand. 
This link gives more information: http://2050-calculator-tool-wiki.decc.gov.uk/pages/82"	Amber	Cost methodology			Ruth made up
Cost	181	How can we know what costs will be in the future?	"Future fuel and technology costs are highly uncertain. The following are just a few factors which could cause future technology costs to be lower or higher:
¥ The climate change policy of other countries. Lots of long term, predictable climate initiatives internationally could have a big effect on RDD&D expenditure globally which could bring down technology costs.
¥ Success of scientists and engineers in discovering better, cheaper low carbon technology solutions.
¥ Technology roll out in other countries. This could push prices up (e.g. if it results in a shortage of, say, CCS engineers), or push prices down (if learning by doing reduces unit costs). The UK is not a very large market and so could be a price taker for many technologies.
¥ Technology roll out in the UK. For example, the marginal cost of land used for wind turbines will increase as the roll out of wind increases. Alternatively, marginal cost of installing charging points for electric vehicles may decline as the number of electric vehicles in circulation increases through learning by doing / economies of scale.
The 2050 calculator's cost range is a simple way of attempting to capture all the above factors. The cost range for 2050 represents the highest / lowest that credible experts can foresee costs being. Specifically:
¥ Low cost estimate Ð costs are the lowest that credible published studies suggest they could be by 2050, for example assuming technology breakthroughs and low cost material and labour.
¥ High cost estimate Ð costs in 2050 are frozen at todayÕs levels (or even higher if credible published evidence suggests this could be the case). This assumes no technological breakthroughs over the next forty years and high labour and material costs.
There are three advantages to this simple methodology for defining high/low costs:
¥ Simple Ð this is analytically simple and easy to understand. It is objective because technology costs today are a verifiable fact.
¥ Avoids false confidence Ð there is genuine uncertainty about whether scientists will achieve the technology breakthroughs necessary to bring down the costs of specific technologies. We should not presume that the cost of any technology will fall as a matter of course e.g. history shows that nuclear power costs have actually risen over the last forty years.
¥ Consistent with 2050 Calculator trajectory methodology Ð the technology trajectories reflect all credible views on the role of technologies. Similarly, our high/low range reflects all credible views on possible future costs.
"	Amber	Cost methodology			Ruth made up
Cost	182	Do costs for a technology become cheaper if it becomes more commonly used? (i.e.. learning rates)	"No. The high/low costs we use for each technology will be the same regardless of which pathway the user selects. In other words, costs are treated as exogenous to the model, not endogenous.
We have done this for two reasons:
1. To keep the simplicity of the Calculator. If we made the Calculator capable of modelling learning rates then it would be a less transparent, simple and accessible tool. 
2. The UK is likely to be a price taker in many technologies. It would arguably be spurious accuracy because levels of technology R&D and roll out in other countries will arguably have more of an impact on the UK than our own choices (i.e. the UK is a price taker). 
Although costs are exogenous, we do make a provision for minimal technological improvement over time. For most technologies, we assume incremental improvements in energy efficiency over time. So although the high, low cost estimates appear constant over time, on a like for like comparison prices are actually falling slightly."	Amber	Cost methodology			Ruth made up
Cost	183	What type of cost questions can be answered by the calculator?	"The 2050 Calculator should be used to answer questions such as:
¥ What are the capital, operating and fuel costs of pathway X relative to pathway Y?
¥ What are the biggest component costs of pathway X?
¥ How might the capital, operating and fuel costs of pathway X change when, say, renewables costs are as cheap as credible experts believe possible, and nuclear costs are expensive?
But it should not be used to answer questions such as:
¥ What is the effect on energy demand of, say, switching to more expensive forms of electricity generation? (Because the 2050 Calculator does not have a price feedback.)
¥ What is the impact of policy X on energy bills? (Because the 2050 Calculator cannot say what the impact on an electricity or heating bill will be - this is mostly because we would need to make an assumption about the policy used to implement this change.)
¥ What is the expected cost of policy X over the next 10-20 years? (The Calculator is best suited to 2050 analysis, not short/medium term analysis.)
¥ What are the wider macroeconomic costs or welfare costs of policy X? (These impacts are excluded from the Calculator.)
¥ WhatÕs the optimal, least cost means of reducing emissions by 80%? (The Calculator cannot automatically work this out but the user can work out least cost pathways for themselves.)
"	Amber	Cost methodology			Ruth made up
Cost	36	How can one see the costs sections of the analysis on the webtool	"The costs part of the analysis can be found by clicking on the ""see implications"" button in the top left corner of the webtool window. There are three different costs pages which can be chosen from the drop-down menu this button prompts."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	46	"Why are you using total costs to society rather than tax, subsidy and costs to consumers"	"The Calculator works out the total costs to society as a whole of pathways generated by users essentially because working out the impacts of specific policies in terms of taxes or subsidies, and the costs and distribution of these policies, is beyond the scope of the model. The 2050 Calculator is intended to be a simple model; it does not model the markets and relationships which would be needed to work out this level of detail. Furthermore, the Calculator is designed to be policy neutral. The model does not inform on how pathways might be achieved, only the potential for what could be achieved. For this reason, it is more consistent to calculate costs at the broadest level."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	61	Why are the cost ranges so large?	"Our initial approach has been to create a large cost range, encompassing all credible experts opinions and forecasts of costs over time. At this stage we have not attempted to add probability distributions to future costs, since we do not believe there is sufficient data or evidence in most cases to achieve this.
We wish to capture all credible experts views on costs, however if there are some cost estimates used which are widely discredited, please comment on those sources and add other cost sources. Equally, if you believe costs will fall with some certainty from today's 'high' estimates please also inform us.
"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	157	Where can you get total costs and cost/person/year? How can you graph these over time?	"The total costs are in the ÒCostsÓ worksheet (this may be called ÒCostAbsoluteÓ if you're working from an older version of the 2050 Calculator), and the costs per person are in the ÒCostPerCapitaÓ worksheet. The costs are split from left to right by capital, operating, fuel and finance costs, and top to bottom by low, central and high cost estimates for each sector. Each of these cost type / cost range combinations by sector is provided for each 5 year interval up to 2050, to allow the user to create their own graphs or descriptive statistics (by highlighting the relevant data and inserting the desired graph)."	Green	How-to guide		RC done	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Cost	65	"For CHP, do you include the saving in producing electricity as well as heat"	"Yes, the spreadsheet includes both of these."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	66	Do you account for the damage cost of carbon?	Not at the moment.	Amber	wiki		TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
